date,open,high,low,close,volume
2022-3-18,61.4,62.5,59.5,60.5,1954888
2022-3-21,62.93,62.93,60.03,61,1729089
2022-3-22,60.95,60.95,58.88,59.9,2282958
2022-3-23,59.9,62.86,58.98,59.56,2609133
2022-3-24,59.5,59.5,56.53,57.84,2386927
2022-3-25,58.01,58.8,54.88,55.24,3013083
2022-3-28,55,55.57,52.13,53.58,2496145
2022-3-29,53.46,55.2,52.82,53.8,1873045
2022-3-30,54.45,57.21,54.13,56.39,2641728
2022-3-31,56,58.5,54,55.38,1685875
2022-4-1,54.5,57.4,53.83,55.8,1767610
,date,open,close,high,low,volume,code
0,2022-01-04,18.17,18.37,18.55,17.84,177878.0,600238
1,2022-01-05,18.18,18.07,18.5,17.9,157361.0,600238
2,2022-01-06,17.93,18.05,18.27,17.9,116115.0,600238
3,2022-01-07,18.0,17.24,18.05,17.21,183532.0,600238
4,2022-01-10,17.17,17.34,17.53,16.64,115385.0,600238
5,2022-01-11,17.4,17.09,17.6,17.01,108841.0,600238
6,2022-01-12,16.68,16.82,17.19,16.3,176121.0,600238
7,2022-01-13,16.71,16.17,16.76,16.12,165502.0,600238
8,2022-01-14,16.1,16.26,16.45,16.05,110032.0,600238
9,2022-01-17,16.1,16.15,16.32,15.77,108826.0,600238
10,2022-01-18,16.16,17.77,17.77,16.05,505755.0,600238
11,2022-01-19,17.3,16.81,17.9,16.8,321634.0,600238
12,2022-01-20,16.58,16.99,17.09,16.51,217366.0,600238
13,2022-01-21,16.76,17.48,18.35,16.48,278691.0,600238
14,2022-01-24,17.3,17.1,17.66,16.78,165571.0,600238
15,2022-01-25,16.88,16.13,17.12,15.78,164042.0,600238
16,2022-01-26,16.0,16.17,16.46,15.8,134956.0,600238
17,2022-01-27,16.46,14.71,16.64,14.55,185594.0,600238
18,2022-01-28,14.17,13.61,14.5,13.27,218817.0,600238
19,2022-02-07,13.49,13.55,13.81,13.0,184244.0,600238
